Item1,Item2,Time,Book
John,Barnaby,661,barnaby-rudge
Barnaby,John,661,barnaby-rudge
Barnaby,John,663,barnaby-rudge
John,Barnaby,663,barnaby-rudge
Haredale,Wait,667,barnaby-rudge
Wait,Haredale,667,barnaby-rudge
Barnaby,Willet,671,barnaby-rudge
Willet,Barnaby,671,barnaby-rudge
Old,John,672,barnaby-rudge
Old,Barnaby,672,barnaby-rudge
John,Old,672,barnaby-rudge
John,Barnaby,672,barnaby-rudge
Barnaby,Old,672,barnaby-rudge
Barnaby,John,672,barnaby-rudge
Chester,John,681,barnaby-rudge
Chester,John,681,barnaby-rudge
John,Chester,681,barnaby-rudge
John,Chester,681,barnaby-rudge
John Willet,John,682,barnaby-rudge
John Willet,Barnaby,682,barnaby-rudge
John,John Willet,682,barnaby-rudge
John,Barnaby,682,barnaby-rudge
Barnaby,John Willet,682,barnaby-rudge
Barnaby,John,682,barnaby-rudge
Barnaby,John Willet,683,barnaby-rudge
Barnaby,John Willet,683,barnaby-rudge
John Willet,Barnaby,683,barnaby-rudge
John Willet,Barnaby,683,barnaby-rudge
John,Barnaby,690,barnaby-rudge
Barnaby,John,690,barnaby-rudge
Barnaby,Grip,697,barnaby-rudge
Grip,Barnaby,697,barnaby-rudge
Barnaby,Grip,701,barnaby-rudge
Grip,Barnaby,701,barnaby-rudge
Hurrah,Bow,702,barnaby-rudge
Hurrah,Bow,702,barnaby-rudge
Bow,Hurrah,702,barnaby-rudge
Bow,Hurrah,702,barnaby-rudge
John,Chester,706,barnaby-rudge
John,Geoffrey Haredale,706,barnaby-rudge
Chester,John,706,barnaby-rudge
Chester,Geoffrey Haredale,706,barnaby-rudge
Geoffrey Haredale,John,706,barnaby-rudge
Geoffrey Haredale,Chester,706,barnaby-rudge
Nay,Solomon Daisy,707,barnaby-rudge
Nay,John,707,barnaby-rudge
Solomon Daisy,Nay,707,barnaby-rudge
Solomon Daisy,John,707,barnaby-rudge
John,Nay,707,barnaby-rudge
John,Solomon Daisy,707,barnaby-rudge
Long Parkes,Hugh,709,barnaby-rudge
Hugh,Long Parkes,709,barnaby-rudge
Solomon,Haredale,710,barnaby-rudge
Haredale,Solomon,710,barnaby-rudge
