id;color;type
Listen;;
Sir Eugene Bountiful;;
Aunt Jane;;
Poor Charley;;
Ecod;;
Dearest Georgiana;;
Say;;
Strike;;
Vanilla ASCII;;
Rooshan Empire;;
Hoppetty;;
Jealous;;
Miss Dancer;;
Miller;;
Chris;;
Cassim;;
Reginald;;
Hyde Park Corner;;
Jenny;;
Jack;;
Death;;
Tartar;;
Galley;;
Cheek;;
Churchyard;;
Mrs Betty Higden;;
Miss Elizabeth;;
Elizabeth;;
Anyways;;
Dried;;
Saint Mary Axe;;
Say Miss Wilfer;;
Navigation;;
Horatio Akershem Esquire;;
Might;;
Stomach;;
Little Eyes;;
Poll Parrot;;
Patrons;;
Advantage;;
Too;;
Curates;;
Mutton;;
Between Mr Rokesmith;;
Pardner;;
Radfoot;;
Mill Lock;;
Young;;
Fal;;
Whether;;
Mummied;;
Finds Podsnap;;
George Sampson;;
Blight;;
Georgiana;;
Balley;;
George Jones;;
Hooroar;;
Home;;
Lime;;
Misty;;
Milliner;;
Purl;;
Church;;
M P.;;
Won;;
Bare;;
Exchequer Coffee House;;
Merit;;
Gaffer Hexam;;
Pegasus;;
Will;;
Twemlow;;
Houses;;
Law Practice;;
Father;;
Dun Cow;;
George;;
Down;;
Threepenn;;
Bob Gliddery;;
Miss Abbey Potterson;;
Richer;;
Miss Abbey;;
Scuse ME;;
Goldsmith;;
Buffer;;
Him;;
Brought;;
Society;;
Charley;;
How;;
Brewer;;
Certainly;;
Judah;;
Yoicks;;
Talk;;
Calley;;
Jack Mullins;;
Square;;
Plutarch;;
Dearert Childerrenerr;;
Identification;;
Has;;
Locks;;
Lord;;
Henerietty;;
Ark;;
Inn;;
Harmon;;
Mamma;;
Large;;
